,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
79,Saint-Philippe,RE,-21.3585,55.7679,76.55,72,92,7.56,overcast clouds
80,Caravelas,BR,-17.7125,-39.2481,73.11,92,100,9.26,overcast clouds
81,Elat,IL,29.5581,34.9482,66.04,48,0,3.44,clear sky
82,Port Elizabeth,ZA,-33.918,25.5701,70.11,100,75,11.5,light rain
83,Kalmunai,LK,7.4167,81.8167,77.5,84,94,3.49,overcast clouds
84,Chaiyaphum,TH,15.75,102.0,65.82,78,5,7.4,clear sky
85,Barrow,US,71.2906,-156.7887,-7.58,84,90,5.75,mist
86,Flinders,AU,-34.5833,150.8552,67.37,66,74,19.15,broken clouds
87,North Bend,US,43.4065,-124.2243,51.24,92,75,5.75,broken clouds
88,Nome,US,64.5011,-165.4064,-0.33,60,1,11.5,clear sky
89,Butaritari,KI,3.0707,172.7902,82.9,75,84,11.81,broken clouds
90,San Jeronimo,PE,-11.9472,-75.2829,52.36,85,79,2.73,broken clouds
91,Arman,RU,59.7,150.1667,-0.62,92,53,6.24,broken clouds
92,Ouegoa,NC,-20.35,164.4333,84.27,67,100,9.28,overcast clouds
93,Tura,IN,25.5198,90.2201,58.73,55,0,2.95,clear sky
94,Grindavik,IS,63.8424,-22.4338,37.87,81,75,23.02,broken clouds
95,Port Alfred,ZA,-33.5906,26.891,74.03,74,66,5.77,broken clouds
96,Kloulklubed,PW,7.0419,134.2556,79.3,76,74,7.56,broken clouds
97,Talnakh,RU,69.4865,88.3972,-26.61,98,96,7.52,overcast clouds
98,Yellowknife,CA,62.456,-114.3525,-10.59,86,20,4.61,few clouds
99,Hilo,US,19.7297,-155.09,78.53,34,90,6.91,light rain
100,Port Macquarie,AU,-31.4333,152.9167,72.9,59,0,12.75,clear sky
101,Lazaro Cardenas,MX,17.9583,-102.2,82.24,72,64,7.99,broken clouds
102,Kambove,CD,-10.8764,26.5969,64.0,74,60,2.71,broken clouds
103,Samarai,PG,-10.6167,150.6667,84.88,72,83,15.55,broken clouds
104,Geraldton,AU,-28.7667,114.6,67.12,82,40,6.91,scattered clouds
105,Ahipara,NZ,-35.1667,173.1667,74.98,70,79,8.3,broken clouds
106,Pisco,PE,-13.7,-76.2167,69.85,73,75,14.97,broken clouds
107,Padang,ID,-0.9492,100.3543,77.05,89,100,1.59,overcast clouds
108,Ancud,CL,-41.8697,-73.8203,65.73,80,90,9.26,overcast clouds
109,Pevek,RU,69.7008,170.3133,-29.72,96,99,3.96,overcast clouds
110,Serabu,SL,7.7958,-12.0536,76.19,89,52,2.53,light rain
111,Ribeira Grande,PT,38.5167,-28.7,64.04,76,8,14.38,clear sky
112,Hithadhoo,MV,-0.6,73.0833,80.73,78,77,9.33,broken clouds
113,Tabou,CI,4.423,-7.3528,80.1,83,8,7.92,clear sky
114,Bengkulu,ID,-3.8004,102.2655,74.44,94,100,4.21,overcast clouds
115,Golpayegan,IR,33.4537,50.2884,41.32,60,0,1.83,clear sky
116,Madang,PG,-5.2246,145.7966,80.78,85,99,3.89,overcast clouds
117,Cikupa,ID,-6.2364,106.5083,76.77,86,95,4.83,light rain
118,Nanortalik,GL,60.1432,-45.2371,28.49,76,100,14.54,overcast clouds
119,Cedar City,US,37.6775,-113.0619,29.17,60,1,11.5,clear sky
120,Batesville,US,35.7698,-91.641,75.61,70,20,5.01,few clouds
121,Kiruna,SE,67.8557,20.2251,18.52,86,75,9.22,broken clouds
122,Oranjestad,AW,12.524,-70.027,82.35,73,20,1.99,few clouds
123,Sioux Lookout,CA,50.1001,-91.917,23.38,74,40,8.05,scattered clouds
124,Nikolskoye,RU,59.7035,30.7861,18.01,84,100,10.56,overcast clouds
125,Cidreira,BR,-30.1811,-50.2056,66.51,73,28,7.94,scattered clouds
126,Beloha,MG,-25.1667,45.05,75.56,79,37,6.02,scattered clouds
127,Warman,CA,52.3168,-106.5679,19.31,68,75,13.8,broken clouds
128,Atuona,PF,-9.8,-139.0333,78.44,73,49,13.42,scattered clouds
129,Dunedin,NZ,-45.8742,170.5036,57.79,71,100,8.01,overcast clouds
130,Tripoli,LY,32.8752,13.1875,58.91,42,10,24.54,clear sky
131,Hokitika,NZ,-42.7167,170.9667,61.75,94,100,7.63,overcast clouds
132,Nuuk,GL,64.1835,-51.7216,12.15,82,100,6.35,overcast clouds
133,Nova Vicosa,BR,-17.8919,-39.3719,73.78,91,97,10.85,overcast clouds
134,Kavieng,PG,-2.5744,150.7967,81.95,76,100,7.94,light rain
135,Prieska,ZA,-29.6641,22.7474,73.33,53,40,4.12,scattered clouds
136,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,5.75,scattered clouds
137,Fujin,CN,47.26,132.0322,11.52,89,11,7.34,few clouds
138,Itaituba,BR,-4.2761,-55.9836,79.29,83,91,0.63,overcast clouds
139,Tacuarembo,UY,-31.7333,-55.9833,70.43,40,94,4.94,overcast clouds
140,Brokopondo,SR,4.75,-55.1667,77.34,90,96,6.71,moderate rain
141,Pingliang,CN,35.5392,106.6861,31.6,67,100,13.58,overcast clouds
142,Yulara,AU,-25.2406,130.9889,75.04,19,0,10.36,clear sky
143,Airai,TL,-8.9266,125.4092,66.61,80,58,1.63,broken clouds
144,Huilong,CN,31.8111,121.655,53.04,81,25,7.74,scattered clouds
145,Teguise,ES,29.0605,-13.564,59.22,77,20,12.66,few clouds
146,Nizip,TR,37.0097,37.7942,46.53,72,31,4.85,scattered clouds
147,Ambovombe,MG,-25.1667,46.0833,75.34,79,98,9.8,overcast clouds
148,Diego De Almagro,CL,-26.3667,-70.05,66.34,41,0,7.43,clear sky
149,Necochea,AR,-38.5473,-58.7368,67.03,89,97,15.84,light rain
150,Touros,BR,-5.1989,-35.4608,81.5,75,2,14.61,clear sky
151,Sharjah,AE,25.3573,55.4033,69.78,62,0,2.3,clear sky
152,Bereda,ES,43.2686,-7.5406,50.92,97,99,4.21,overcast clouds
153,General Roca,AR,-39.0333,-67.5833,91.62,17,4,6.33,clear sky
154,Honiara,SB,-9.4333,159.95,84.42,79,99,4.25,moderate rain
155,Tezu,IN,27.9167,96.1667,62.19,47,81,3.0,broken clouds
156,Istok,XK,42.7808,20.4875,34.72,97,86,0.92,overcast clouds
157,Sonoita,MX,31.85,-112.8333,59.52,37,87,9.4,overcast clouds
158,Yar-Sale,RU,66.8333,70.8333,11.86,95,100,14.27,light snow
159,Auki,SB,-8.7676,160.7034,82.26,85,100,5.48,light rain
160,Kaitangata,NZ,-46.2817,169.8464,58.93,72,100,11.16,overcast clouds
161,Praia,CV,14.9215,-23.5087,72.14,78,20,16.11,few clouds
162,Zhicheng,CN,30.2956,111.5047,49.77,85,100,6.11,overcast clouds
163,Clyde River,CA,70.4692,-68.5914,-9.17,70,20,14.97,few clouds
164,Barra Do Garcas,BR,-15.89,-52.2567,84.78,74,40,5.75,scattered clouds
165,Lagoa,PT,39.05,-27.9833,63.32,80,5,15.28,clear sky
166,Eidsvag,NO,62.7767,8.0668,29.05,73,53,8.01,broken clouds
167,Kenai,US,60.5544,-151.2583,26.69,88,90,0.0,light snow
168,Kamskiye Polyany,RU,55.4307,51.4171,14.81,91,7,9.98,clear sky
169,Tuatapere,NZ,-46.1333,167.6833,56.82,84,100,8.32,overcast clouds
170,Balaipungut,ID,1.05,101.2833,73.81,98,93,1.86,overcast clouds
171,Gorey,IE,52.6747,-6.2925,42.71,84,94,8.12,overcast clouds
